indicators_harmonized,Categories,Categories_2,Subcategories,Subcategories_2,usage,meas
red list index (migratory bird species),biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity,1,cms
red list index (cms-listed bird and mammal species),biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity,1,cms
living planet index (migratory species),biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity,1,cms
wild bird index (migratory birds),biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity,1,cms
trends in distribution of migratory species,biodiversity,Knowledge systems,Change in biodiversity,Information on biodiversity,1,cms
"trends in conservation status, including connectivity, of identified habitats of key importance for migratory species",biodiversity,Knowledge systems,Change in biodiversity,Information on biodiversity,1,cms
coverage of key habitats for migratory species in protected areas,ecosystems,Governance,Area conservation,Nature-based legislation,1,cms
trends in protected area coverage of each key biodiversity area identified for cms-listed bird and mammal species,ecosystems,Governance,Change in ecosystems,Nature-based legislation,1,cms
trends in protected area coverage of each key biodiversity area identified for migratory bird and mammal species,ecosystems,Governance,Change in ecosystems,Nature-based legislation,1,cms
management effectiveness of areas protected specifically for migratory species,biodiversity,Governance,Change in biodiversity,Nature-based legislation,1,cms
trends in delivery of ecosystem services directly dependent on migratory species,ecosystems,Governance,Change in ecosystems,Nature-based legislation,1,cms
trends in genetic diversity of selected species,biodiversity,biodiversity,Change in biodiversity,Genetic diversity,1,cms
trends in integration of migratory species concerns in national biodiversity strategies and action plans,biodiversity,Governance,Change in biodiversity,Nature-based legislation,1,cms
the overall conservation status of wetlands,ecosystems,NA,State of ecosystems (freshwater/coastal),NA,1,ramsar
status and trends in wetland ecosystem extent,ecosystems,NA,State of ecosystems (freshwater/coastal),NA,1,ramsar
trends in conservation status - qualitative assessment,ecosystems,NA,Area conservation,NA,1,ramsar
the status of the ecological character of ramsar sites,ecosystems,NA,State of ecosystems (freshwater/coastal),NA,1,ramsar
trends in the status of ramsar site ecological character - qualitative assessment,ecosystems,NA,State of ecosystems (freshwater/coastal),NA,1,ramsar
trends in water quality,ecosystems,NA,State of ecosystems (integrity),NA,1,ramsar
trends in dissolved nitrate (or nitrogen) concentration,ecosystems,NA,State of ecosystems (integrity),NA,1,ramsar
trends in biological oxygen demand (bod),ecosystems,NA,State of ecosystems (integrity),NA,1,ramsar
the frequency of threats affecting ramsar sites,ecosystems,NA,State of ecosystems (integrity),NA,1,ramsar
the frequency of threats affecting ramsar sites - qualitative assessment,ecosystems,NA,State of ecosystems (integrity),NA,1,ramsar
wetland sites with successfully implemented conservation or wise use management plans,ecosystems,NA,Area conservation,NA,1,ramsar
overall population trends of wetland taxa,biodiversity,NA,Change in biodiversity,NA,1,ramsar
trends in the status of waterbird biogeographic populations,biodiversity,NA,Change in biodiversity,NA,1,ramsar
changes in threat status of wetland taxa,biodiversity,NA,Change in biodiversity,NA,1,ramsar
trends in the status of globally-threatened wetland-dependent birds,biodiversity,NA,Change in biodiversity,NA,1,ramsar
trends in the status of globally-threatened wetland-dependent amphibians,biodiversity,NA,Change in biodiversity,NA,1,ramsar
the proportion of candidate ramsar sites designated so far for wetland types/features,ecosystems,NA,Area conservation,NA,1,ramsar
coverage of the wetland resource by designated ramsar sites,ecosystems,NA,Area conservation,NA,1,ramsar
trends in land cover,ecosystems,NA,Change in biodiversity,NA,1,unccd
trends in land productivity,ecosystems,NA,Change in biodiversity,NA,1,unccd
"trends in carbon stocks (above and below ground), which is currently represented by soil organic carbon (soc) stocks",ecosystems,NA,State of ecosystems (integrity),NA,1,unccd
