"","IPBES","GEO","IPCC","GBF","SDG","CITES","CMS","RAMSAR","UNCCD"
"IPBES",616,26,3,80,138,0,0,0,1
"GEO",26,185,4,21,11,0,0,0,0
"IPCC",3,4,380,0,0,0,0,0,0
"GBF",80,21,0,218,48,0,0,0,1
"SDG",138,11,0,48,95,0,0,0,1
"CITES",0,0,0,0,0,52,0,0,0
"CMS",0,0,0,0,0,0,25,0,0
"RAMSAR",0,0,0,0,0,0,0,67,0
"UNCCD",1,0,0,1,1,0,0,0,12
