Goal/target,indicators_orig,indicator_type,indic_id,indicators_harmonized
Target 17,Number of countries with legal and technical measures for restoration and compensation,complementary,GBF_CY_T17_224,number of countries with legal and technical measures for restoration and compensation
Target 17,Percentage of Parties to the Nagoya - Kuala Lumpur Supplementary Protocol,complementary,GBF_CY_T17_225,percentage of parties to the nagoya - kuala lumpur supplementary protocol
Target 17,Percentage of countries with systems in place for restoration and compensation of damage to conservation and sustainable use of biological diversity,complementary,GBF_CY_T17_226,percentage of countries with systems in place for restoration and compensation of damage to conservation and sustainable use of biological diversity
Target 17,Number of countries that establish and implement risk management measures,complementary,GBF_CY_T17_227,number of countries that establish and implement risk management measures
Target 17,Number of countries with mechanisms to facilitate the sharing of and access to information on potential adverse impacts of biotechnology on biodiversity and human health,complementary,GBF_CY_T17_228,number of countries with mechanisms to facilitate the sharing of and access to information on potential adverse impacts of biotechnology on biodiversity and human health
Target 18,Number of countries with biodiversity-relevant taxes,complementary,GBF_CY_T18_229,number of countries with biodiversity relevant taxes
Target 18,Number of countries with biodiversity-relevant charges and fees,complementary,GBF_CY_T18_230,number of countries with biodiversity relevant charges and fees
Target 18,Number of countries with biodiversity-relevant tradable permit schemes,complementary,GBF_CY_T18_231,number of countries with biodiversity relevant tradable permit schemes
Target 18,Trends in potentially environmentally harmful elements of government support to agriculture (producer support estimate),complementary,GBF_CY_T18_232,trends in potentially environmentally harmful elements of government support to agriculture (producer support estimate)
Target 18,Trends in the number and value of government fossil fuel support measures,complementary,GBF_CY_T18_233,trends in the number and value of government fossil-fuel support measures
Target 18,Amount of fossil-fuel subsidies per unit of GDP (production and consumption),complementary,GBF_CY_T18_234,amount of fossil-fuel subsidies per unit of gross domestic product (production and consumption)
Target 19,Amount of funding provided through the Global Environment Facility and allocated to the biodiversity focal area,complementary,GBF_CY_T19_235,amount of funding provided through the global environment facility and allocated to the biodiversity focal area
Target 19,"Foreign direct investment (FDI), official development assistance and South-South cooperation as a proportion of total domestic budget",complementary,GBF_CY_T19_236,"foreign direct investment (fdi), official development assistance and south-south cooperation as a proportion of total domestic budget"
Target 19,Amount and composition of biodiversity-related finance reported to the OECD Creditor reporting system,complementary,GBF_CY_T19_237,amount and composition of biodiversity-related finance reported to the oecd creditor reporting system
Target 19,"Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) committed to developing countries",complementary,GBF_CY_T19_238,"dollar value of financial and technical assistance (including through north-south, south-south and triangular cooperation) committed to developing countries"
Target 19,Dollar value of all resources made available to strengthen statistical capacity in developing countries,complementary,GBF_CY_T19_239,dollar value of all resources made available to strengthen statistical capacity in developing countries
Target 19,Amount of biodiversity-related philanthropic funding,complementary,GBF_CY_T19_240,amount of biodiversity-related philanthropic funding
Target 19,Proportion of total research budget allocated to research in the field of marine technology,complementary,GBF_CY_T19_241,proportion of total research budget allocated to research in the field of marine technology
Target 19,"Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",complementary,GBF_CY_T19_242,"total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies"
Target 19,Number of countries (and number of instruments) with payments for ecosystem services (PES) programmes,complementary,GBF_CY_T19_243,number of countries (and number of instruments) with payments for ecosystem services (pes) programmes
Target 19,"Number of countries that have (a) Assessed values of biodiversity, in accordance with the Convention, (b) Identified and reported funding needs, gaps and priorities (c)Developed national financial plans for biodiversity; (d) Been provided with the necessary funding and capacity building to undertake the above activities",complementary,GBF_CY_T19_244,"number of countries that have (a) assessed values of biodiversity, in accordance with the convention, (b) identified and reported funding needs, gaps and priorities (c)developed national financial plans for biodiversity; (d) been provided with the necessary funding and capacity building to undertake the above activities"
Target 21,Growth in number of records and species in the Living Planet Index database,complementary,GBF_CY_T21_246,growth in number of records and species in the living planet index database
Target 21,Growth in species occurrence records accessible through the Global Biodiversity Information Facility,complementary,GBF_CY_T21_247,species occurrence records accessible through the global biodiversity information facility
Target 21,Growth in marine species occurrence records accessible through OBIS,complementary,GBF_CY_T21_248,growth in marine species occurrence records accessible through ocean biodiversity information system (obis)
Target 21,Proportion of known species assessed through the IUCN Red List.,complementary,GBF_CY_T21_249,proportion of known species assessed through the red list index
Target 21,Number of assessments on the IUCN Red List of threatened species,complementary,GBF_CY_T21_250,number of assessments on the red list index
Target 21,World Association of Zoos and Aquariums (WAZA) bio-literacy survey (Biodiversity literacy in global zoo and aquarium visitors),complementary,GBF_CY_T21_251,world association of zoos and aquariums (waza) bio-literacy survey (biodiversity literacy in global zoo and aquarium visitors)
Target 21,"Species Status Information Index
",complementary,GBF_CY_T21_252,species status index
Target 22,"Percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",complementary,GBF_CY_T22_253,"percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups"
Target 22,Number of countries with systems to track and make public allocations for gender equality and women's empowerment,complementary,GBF_CY_T22_254,number of countries with systems to track and make public allocations for gender equality and women's empowerment
Target 22,"Proportion of total agricultural population with ownership or secure tenure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure",complementary,GBF_CY_T22_255,"proportion of total agricultural population with ownership or secure rights over agricultural land, by sex and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure"
Target 22,Number of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control,complementary,GBF_CY_T22_256,number of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control
Target 22,Number of protected areas that have completed a site-level assessment of governance and equity (SAGE),complementary,GBF_CY_T22_257,number of protected areas that have completed a site-level assessment of governance and equity (sage)
Target 22,"Trends in number of environmental human rights defenders killed annually, disaggregated by country, gender; number of indigenous environmental human rights defenders kill",complementary,GBF_CY_T22_258,"trends in number of environmental human rights defenders killed annually, disaggregated by country, gender; number of indigenous environmental human rights defenders kill"
Target 22,Land tenure [in the traditional territories] of indigenous peoples and local communities [by sex and type of tenure],complementary,GBF_CY_T22_259,land tenure [in the traditional territories] of indigenous peoples and local communities [by sex and type of tenure]
Target 22,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group",complementary,GBF_CY_T22_260,"proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group"
Target 23,"Percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",complementary,GBF_CY_T23_261,"percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups"
Target 23,"Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure",complementary,GBF_CY_T23_262,"proportion of total agricultural population with ownership or secure rights over agricultural land, by sex and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure"
Target 23,Number of countries with systems to track and make public allocations for gender equality and women's empowerment,complementary,GBF_CY_T23_263,number of countries with systems to track and make public allocations for gender equality and women's empowerment
Target 23,Number of protected areas that have completed a site-level assessment of governance and equity (SAGE),complementary,GBF_CY_T23_264,number of protected areas that have completed a site-level assessment of governance and equity (sage)
Target 23,"Percentage of population who believe decision making is inclusive and responsive, by sex, age, disability and population group",complementary,GBF_CY_T23_265,"percentage of population who believe decision making is inclusive and responsive, by sex, age, disability and population group"
Target 23,Proportion of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control,complementary,GBF_CY_T23_266,proportion of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control
