indicators_harmonized,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,policy,ipbes,Categories,Categories_2,Subcategories,Subcategories_2,usage,assess
land not cultivated or urban (indigenous lands),NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,Human assets,State of ecosystems,Infrastructure (build-up area),1,ga
land suitability and extent of bioenergy crop and livestock producing and harvesting areas,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,Ecosystem services,State of ecosystems,Nature contribution,1,ga
land suitability and extent of cotton producing area,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,Ecosystem services,State of ecosystems,Nature contribution,1,ga
land use change that causes a change in et,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Change in ecosystems,NA,1,ga
landscape complexity,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,NA,1,ga
landscape dominance of habitat,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,NA,1,ga
landscape inundated by the flood,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,NA,1,ga
landslides stabilization,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,NA,1,ga
large fish indicator,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
leaf area index (lai),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
