indicators_harmonized,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,policy,ipbes,Categories,Categories_2,Subcategories,Subcategories_2,usage,assess
red list index (impacts of pollution),1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,Direct drivers,State of biodiversity,Pollution,1,ga
red list index (internationally traded birds),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,Ecosystem services,State of biodiversity,Nature contribution,1,ga
red list index (internationally traded species),1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,Ecosystem services,State of biodiversity,Nature contribution,1,ga
red list index (pollinators),1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,Ecosystem services,State of biodiversity,Nature contribution,1,ga
red list index (vertebrate pollinators),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
red list index (wild relatives),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,Ecosystem services,State of biodiversity,Nature contribution,1,ga
red list of ecosystems,1,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,State of ecosystems,NA,1,geo
remaining primary vegetation,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems (coverage),NA,1,ga
remaining primary vegetation (hotspots),NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems (coverage),NA,1,ga
remaining primary vegetation (indigenous lands),NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,Knowledge systems,State of ecosystems (coverage),ILK,1,ga
remote sensed vegetation,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,NA,1,ga
remote sensing of croplands,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,NA,1,ga
saltmarsh distribution and abundance,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,NA,1,ga
seagrass meadow area,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems (freshwater/coastal),NA,1,ga
soil biodiversity,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
soil depth,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Abiotic conditions,NA,1,ga
soil organic carbon,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Abiotic conditions,NA,1,ga
soil organic carbon (correlative model),NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Abiotic conditions,NA,1,ga
soil organic carbon (mechanistic models),NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Abiotic conditions,NA,1,ga
soil quality,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Abiotic conditions,NA,1,ga
species abundance distribution,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
species habitat index,1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,NA,State of biodiversity,NA,1,ga
species protection index,1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,NA,Species conservation,NA,1,ga
species richness,1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,NA,State of biodiversity,NA,2,ga
species richness,1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,NA,State of biodiversity,NA,2,ias
species richness per grid cell,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
species status index,1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,NA,State of biodiversity,NA,1,ga
taxonomic diversity and distinctness,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
trait convergence assembly pattern (tcap),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
trait divergence assembly pattern (tdap),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
tree cover,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
vegetation biomass,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
vegetation biomass (mechanistic models),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
vegetation type and cover in areas prone to soil dust emission,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
vegetation type and cover in areas prone to soil dust movement,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
vegetation-atmosphere co2 exchange,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
wetland extent trends index,1,NA,NA,NA,NA,NA,NA,1,1,ecosystems,NA,Change in ecosystems,NA,1,ga
wild bird index,1,NA,NA,NA,NA,NA,NA,1,1,biodiversity,NA,State of biodiversity,NA,1,ga
wild bird index (farmland birds),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
wild bird index (habitat specialists),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
wild mammal biomass,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
