indicators_harmonized,policy,assessment,sources,ipbes,usage,usage_policy,usage_assess,indic,indic_ext,var_ext,Categories,Categories_2,Subcategories,Subcategories_2,source
proportion of bodies of water with good ambient water quality,1,1,"SUA,GBF,SDG",1,3,2,1,1,NA,NA,ecosystems,Human well-being,State of ecosystems,Healthy living conditions,GBF
level of water stress,1,1,"GEO,GBF",NA,2,1,1,1,1,NA,ecosystems,Human well-being,State of ecosystems,Healthy living conditions,GBF
number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit,1,0,GBF,NA,1,1,0,1,NA,NA,biodiversity,NA,Genetic resources,NA,GBF
species status index,1,1,"GA,GBF",1,2,1,1,1,1,NA,biodiversity,NA,State of biodiversity,NA,GBF
forest area as a percentage of total land area,1,1,"GA,SUA,GEO,GBF,SDG",1,5,2,3,1,1,NA,ecosystems,NA,State of ecosystems (coverage),NA,GBF
forest distribution,1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,NA,State of ecosystems,NA,GBF
tree cover loss,1,0,GBF,NA,1,1,0,1,NA,NA,biodiversity,NA,Change in biodiversity,NA,GBF
grassland and savannah extent,1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,NA,State of ecosystems,NA,GBF
mountain green cover index,1,1,"SUA,GBF,SDG",1,3,2,1,1,1,NA,ecosystems,NA,State of ecosystems (coverage),NA,GBF
peatland extent and condition,1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,NA,State of ecosystems (coverage),NA,GBF
"permafrost thickness, depth and extent",1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,NA,State of ecosystems,NA,GBF
continuous global mangrove forest area,1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,NA,State of ecosystems (configuration),NA,GBF
trends in mangrove forest fragmentation,1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,NA,Change in ecosystems,State of ecosystems (configuration),GBF
trends in mangrove extent,1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,NA,Change in ecosystems,State of ecosystems (coverage),GBF
live coral cover,1,1,"GA,GBF",1,2,1,1,1,1,NA,biodiversity,NA,State of biodiversity,NA,GBF
hard coral cover and composition,1,0,GBF,NA,1,1,0,1,NA,NA,biodiversity,NA,State of biodiversity,NA,GBF
global coral reef extent,1,0,GBF,NA,1,1,0,1,NA,NA,biodiversity,NA,State of biodiversity,NA,GBF
global seagrass extent (seagrass cover and composition),1,0,GBF,NA,1,1,0,1,NA,NA,biodiversity,NA,State of biodiversity,NA,GBF
global saltmarsh extent,1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,NA,State of ecosystems,NA,GBF
kelp canopy extent,1,0,GBF,NA,1,1,0,1,NA,NA,biodiversity,NA,State of biodiversity,NA,GBF
macroalgal canopy cover and composition,1,0,GBF,NA,1,1,0,1,NA,NA,biodiversity,NA,State of biodiversity,NA,GBF
cover of key benthic groups,1,0,GBF,NA,1,1,0,1,NA,NA,biodiversity,NA,State of biodiversity,NA,GBF
fleshy algae cover,1,0,GBF,NA,1,1,0,1,NA,NA,biodiversity,NA,State of biodiversity,NA,GBF
wetland extent trends index,1,1,"GA,GBF",1,2,1,1,1,1,NA,ecosystems,NA,Change in ecosystems,NA,GBF
change in the extent of inland water ecosystems over time,1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,NA,State of ecosystems,Change in ecosystems,GBF
forest fragmentation index,1,0,GBF,NA,1,1,0,1,1,NA,ecosystems,NA,State of ecosystems,NA,GBF
forest landscape integrity index,1,0,GBF,NA,1,1,0,1,1,NA,ecosystems,NA,State of ecosystems,NA,GBF
biomass of selected natural ecosystems,1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,NA,State of ecosystems,NA,GBF
global vegetation health products,1,0,GBF,NA,1,1,0,1,NA,NA,Ecosystem services,NA,Nature contribution,NA,GBF
relative magnitude of fragmentation (rmf),1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,NA,State of ecosystems (integrity),NA,GBF
biodiversity intactness index,1,1,"GA,VA,GEO,GBF",1,4,1,3,1,1,NA,biodiversity,NA,State of biodiversity,NA,GBF
ocean health index,1,1,"GA,GEO,GBF",1,3,1,2,1,1,NA,ecosystems,NA,State of ecosystems (freshwater/coastal),NA,GBF
river fragmentation index,1,0,GBF,NA,1,1,0,1,1,NA,ecosystems,NA,State of ecosystems (integrity),State of ecosystems (freshwater/coastal),GBF
dendritic connectivity index,1,0,GBF,NA,1,1,0,1,1,NA,ecosystems,NA,State of ecosystems,NA,GBF
percentage of threatened species that are improving in status,1,0,GBF,NA,1,1,0,1,NA,NA,biodiversity,NA,Species conservation,Change in biodiversity,GBF
number of threatened species by species group,1,0,GBF,NA,1,1,0,1,NA,NA,biodiversity,NA,Species conservation,NA,GBF
wild bird index,1,1,"GA,GBF",1,2,1,1,1,1,NA,biodiversity,NA,State of biodiversity,NA,GBF
mean species abundance (msa),1,1,"GA,GBF",1,2,1,1,1,1,NA,biodiversity,NA,State of biodiversity,NA,GBF
changes in plankton biomass and abundance,1,0,GBF,NA,1,1,0,1,NA,NA,biodiversity,NA,Change in biodiversity,NA,GBF
fish abundance and biomass,1,0,GBF,NA,1,1,0,1,NA,NA,biodiversity,NA,State of biodiversity,NA,GBF
genetic scorecard for wild species,1,0,GBF,NA,1,1,0,1,NA,NA,biodiversity,NA,Genetic resources,NA,GBF
species richness,1,1,"GA,IAS,GBF",1,3,1,2,1,1,1,biodiversity,NA,State of biodiversity,NA,GBF
local species richness (predicts),1,1,"GA,GBF",1,2,1,1,1,NA,NA,biodiversity,NA,State of biodiversity,NA,GBF
marine species richness,1,0,GBF,NA,1,1,0,1,NA,NA,biodiversity,NA,State of biodiversity,NA,GBF
comprehensiveness of conservation of socioeconomically as well as culturally valuable species,1,0,GBF,NA,1,1,0,1,NA,NA,biodiversity,Human assets,Species conservation,Information on biodiversity,GBF
number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,1,1,"SUA,GBF",1,2,1,1,1,NA,NA,biodiversity,NA,Genetic resources,NA,GBF
proportion of local breeds classified as being at risk of extinction,1,1,"GA,SUA,GBF,SDG",1,4,2,2,1,1,NA,biodiversity,NA,Species conservation,NA,GBF
red list index (wild relatives of farmed and domesticated species),1,1,"GA,GBF",1,2,1,1,1,1,NA,biodiversity,Ecosystem services,State of biodiversity,Nature contribution,GBF
cms connectivity indicator,1,0,GBF,NA,1,1,0,1,NA,NA,biodiversity,NA,State of biodiversity,NA,GBF
intact wilderness,1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,NA,State of ecosystems,NA,GBF
loss of phylogenetic diversity,1,1,"GA,GBF",1,2,1,1,1,NA,NA,biodiversity,NA,Genetic diversity,NA,GBF
