indicators_harmonized,ga_extracted,sua_extracted,va_extracted,ias_extracted,ipcc_extracted,geo_extracted,ILK_ext,indic_ext,var_ext
reduced concentrations of pm2.5,1,NA,NA,NA,NA,NA,NA,1,NA
avoided morbidity and premature mortality from air pollution,1,NA,NA,NA,NA,NA,NA,1,NA
avoided costs from air pollution,1,NA,NA,NA,NA,NA,NA,1,NA
prevented emissions and uptake of greenhouse gases by ecosystems,1,NA,NA,NA,NA,NA,NA,1,NA
reduced concentrations of greenhouse gases in the atmosphere,1,NA,NA,NA,NA,NA,NA,1,NA
reduction in climate related costs,1,NA,NA,NA,NA,NA,NA,1,NA
land and ocean carbon sinks,1,NA,NA,NA,NA,NA,NA,1,NA
reduced ocean acidification,1,NA,NA,NA,NA,NA,NA,1,NA
seafood availability due to ocean acidification,1,NA,NA,NA,NA,NA,NA,1,NA
extent of marine calcification benefits from coral reefs,1,NA,NA,NA,NA,NA,NA,1,NA
soil quality impact on crop production,1,NA,NA,NA,NA,NA,NA,1,NA
ability of ecosystems to absorb and buffer hazards,1,NA,NA,NA,NA,NA,NA,1,NA
reduced incidence and severity of hazards,1,NA,NA,NA,NA,NA,NA,1,NA
reduced morbidity and premature mortality due to natural hazards,1,NA,NA,NA,NA,NA,NA,1,NA
reduced property loss due to natural hazards,1,NA,NA,NA,NA,NA,NA,1,NA
natural habitat in agriculture,1,NA,NA,NA,NA,NA,NA,1,NA
reduced food spoilage,1,NA,NA,NA,NA,NA,NA,1,NA
reduced net farm income loss from pests and diseases,1,NA,NA,NA,NA,NA,NA,1,NA
diversity of competent hosts of vector-borne diseases,1,NA,NA,NA,NA,NA,NA,1,NA
reduced risk of disease transmission,1,NA,NA,NA,NA,NA,NA,1,NA
reduced incidence of infectious diseases,1,NA,NA,NA,NA,NA,NA,1,NA
extent of agricultural land,1,NA,NA,NA,NA,NA,NA,1,NA
energy content of bioenergy crops,1,NA,NA,NA,NA,NA,NA,1,NA
revenue from bioenergy production,1,NA,NA,NA,NA,NA,NA,1,NA
production of fuelwood,1,NA,NA,NA,NA,NA,NA,1,NA
