indic_id,indicators,indicators_harmonized
UNCCD_1_1,Proportion of land that is degraded over total land area,proportion of land that is degraded over total land area
UNCCD_1_1_2,Trends in land cover,trends in land cover
UNCCD_1_2_3,Trends in land productivity,trends in land productivity
UNCCD_1_3_4,"Trends in carbon stocks (above and below ground), which is currently represented by soil organic carbon (SOC) stocks","trends in carbon stocks (above and below ground), which is currently represented by soil organic carbon (soc) stocks"
