indic_id,indicators,indicators_harmonized
GA_2.2_sm_26,Vegetation biomass (mechanistic models),vegetation biomass (mechanistic models)
GA_2.2_sm_27,Wetland Extent Trend Index,wetland extent trends index
GA_2.2_sm_28,Biological pump efficiency,biological pump efficiency
GA_2.2_sm_29,Biomass turnover rate,biomass turnover rate
GA_2.2_sm_30,Evapotranspiration (model ensemble),evapotranspiration (model ensemble)
GA_2.2_sm_31,Marine NPP (remote sensing),marine net primary production
GA_2.2_sm_32,NPP remaining in ecosystems,net primary production remaining in ecosystems
GA_2.2_sm_33,Oceanic carbon sequestration,oceanic carbon sequestration
GA_2.2_sm_34,Terrestrial C sequestration (model ensemble),terrestrial c sequestration (model ensemble)
GA_2.2_sm_35,Terrestrial NPP (model ensemble),terrestrial net primary production (model ensemble)
GA_2.2_sm_36,Terrestrial NPP (remote-sensing),terrestrial net primary production (remote-sensing)
GA_2.2_sm_37,Biodiversity Intactness Index (Hotspots),biodiversity intactness index (hotspots)
GA_2.2_sm_38,Biodiversity Intactness Index (Indigenous Lands),biodiversity intactness index (indigenous lands)
GA_2.2_sm_39,Biodiversity Intactness Index,biodiversity intactness index
GA_2.2_sm_40,Local species richness (BioTime),local species richness (biotime)
GA_2.2_sm_41,Local species richness (PREDICTS),local species richness (predicts)
GA_2.2_sm_42,Mean Species Abundance index,mean species abundance (msa)
GA_2.2_sm_43,Mean Species Abundance index (Hotspots),mean species abundance (msa) (hotspots)
GA_2.2_sm_44,Mean Species Abundance index (Indigenous Lands),mean species abundance (msa) (indigenous lands)
GA_2.2_sm_45,"Biodiversity Intactness Index (Tropical forest, hotspots)","biodiversity intactness index (tropical forest, hotspots)"
GA_2.2_sm_46,"Biodiversity Intactness Index (Tropical forest, Indigenous Lands)","biodiversity intactness index (tropical forest, indigenous lands)"
GA_2.2_sm_47,Biodiversity Intactness Index (Tropical forest),biodiversity intactness index (tropical forest)
GA_2.2_sm_48,Bird species per grid cell (cSAR),bird species per grid cell
GA_2.2_sm_49,Cumulative introduced invasive aliens species,cumulative introduced invasive aliens
GA_2.2_sm_50,Cumulative number of alien species,cumulative introduced invasive aliens
GA_2.2_sm_51,Forest-specialist bird species per grid cell (cSAR),forest-specialist bird species per grid cell
GA_2.2_sm_52,Functional intactness (Madingley),functional intactness (madingley) (madingley)
GA_2.2_sm_53,Species richness per grid cell (AIM),species richness per grid cell
GA_2.2_sm_56,Global bird richness (cSAR),global bird richness (csar)
GA_2.2_sm_57,Global forest-specialist bird richness (cSAR),global forest-specialist bird richness (csar)
