indic_id,indicators,indicators_harmonized
GA_2.3_sm_226,MAP of Medicinal Plants overlaying plant richness at the global level,map of medicinal plants overlaying plant richness at the global level
GA_2.3_sm_227,Percentage of New drugs discovered over the last 30 years based on Natural Medicinal Products,percentage of new drugs discovered over the last 30 years based on natural medicinal products
GA_2.3_sm_228,"Biodiversity with high potential for having bioactive principles for medicines or represent genetic resources useful for medicines agriculture or other purposes, that have been identified locally through ILK or by other knowledge systems at global levels for health treatments or other purposes (agriculture or other)","biodiversity with high potential for having bioactive principles for medicines or represent genetic resources useful for medicines agriculture or other purposes, that have been identified locally through ilk or by other knowledge systems at global levels for health treatments or other purposes (agriculture or other)"
GA_2.3_sm_229,"Biodiversity richness at global level (Plants, Animals and Fungi, terrestrial and Marine)",species richness
GA_2.3_sm_230,Medicinal plants known to date and accessible for health care as a proxy for all Natural Medicinal Products (NMPs),medicinal plants known to date and accessible for health care as a proxy for all natural medicinal products (national medicines policies)
GA_2.3_sm_231,Genetic resources and especially agrodiversity known to date and its linkage to food security,genetic resources and especially agrodiversity known to date and its linkage to food security
GA_2.3_sm_232,More than 25% of new chemical entities developed for drugs for all diseases treated at the global level over the last 30 years are derived from natural products or chemical leads from NMPs and more than 70% of drugs to treat cancers derive directly from NMPs,more than 25% of new chemical entities developed for drugs for all diseases treated at the global level over the last 30 years are derived from natural products or chemical leads from national medicines policies and more than 70% of drugs to treat cancers derive directly from national medicines policies
GA_2.3_sm_233,Percentage of world population relying almost entirely on NMPs,percentage of world population relying almost entirely on national medicines policies
GA_2.3_sm_234,Percentage of modern drugs based on NMPs or bio-inspired molecules used for diseases at the global level,percentage of modern drugs based on national medicines policies or bio-inspired molecules used for diseases at the global level
GA_2.3_sm_235,"percentages of wild plant collection harvested, traded","percentages of wild plant collection harvested, traded"
GA_2.3_sm_236,New drugs production and sales,new drugs production and sales
GA_2.3_sm_237,Maps showing areas where humans mostly rely NMPs for health,maps showing areas where humans mostly rely national medicines policies for health
GA_2.3_sm_238,Biodiversity intactness index (for plants and vertebrates),biodiversity intactness index (for plants and vertebrates)
GA_2.3_sm_239,linguistic diversity index,linguistic diversity index
GA_2.3_sm_240,In situ genetic resources of interest to science and ex situ gene banks or genetic and or chemical related informations,in situ genetic resources of interest to science and ex situ gene banks or genetic and or chemical related informations
GA_2.3_sm_241,Ability of learning through direct proximity of people with nature in biodiversity-rich landscapes or agroecosystems,ability of learning through direct proximity of people with nature in biodiversity-rich landscapes or agroecosystems
GA_2.3_sm_242,"Elements (parts) of nature used in scientific experiments, from species to genes and their continued natural functional and evolutionary roles","elements (parts) of nature used in scientific experiments, from species to genes and their continued natural functional and evolutionary roles"
GA_2.3_sm_243,"care, mental health, cultural security, life-satisfaction","care, mental health, cultural security, life-satisfaction"
GA_2.3_sm_244,Diversity and economic value of bioinspired production,diversity and economic value of bioinspired production
GA_2.3_sm_245,Areas including all UoA where people mainly rely on Nature for their well being,areas including all uoa where people mainly rely on nature for their well being
GA_2.3_sm_246,Recognition of ILPCs lifestyles in close interaction with nature and their access to their lands and resources,recognition of ilpcs lifestyles in close interaction with nature and their access to their lands and resources
GA_2.3_sm_247,Human mobility to access different natural habitats for outdoor recreation,human mobility to access different natural habitats for outdoor recreation
GA_2.3_sm_248,Indirect access to natural products from natural habitats,indirect access to natural products from natural habitats
GA_2.3_sm_249,Creation of new rural urban network,creation of new rural urban network
GA_2.3_sm_250,Visitation rates of parks,visitation rates of parks
GA_2.3_sm_251,People in proximity to parks or natural areas,people in proximity to parks or natural areas
GA_2.3_sm_252,Indigenous lands,indigenous lands
GA_2.3_sm_253,Green space in cities,green space in cities
GA_2.3_sm_254,Area of natural and traditional landscapes and seascapes,area of natural and traditional landscapes and seascapes
GA_2.3_sm_255,"Number of protected areas, parks and gardens","number of protected areas, parks and gardens"
GA_2.3_sm_256,"Visitation rate to natural terrestrial, coastal and marine areas","visitation rate to natural terrestrial, coastal and marine areas"
GA_2.3_sm_257,"Increased awareness, care, mental health, cultural security, life-satisfaction","increased awareness, care, mental health, cultural security, life-satisfaction"
GA_2.3_sm_258,NA,NA
GA_2.3_sm_259,Abundance of slowly changing ecosystems (time past last land use change),abundance of slowly changing ecosystems (time past last land use change)
GA_2.3_sm_260,Identity value,identity value
GA_2.3_sm_261,Happyness,happyness
GA_2.3_sm_263,Quantitative genetic variation,quantitative genetic variation
GA_2.3_sm_264,Phenotypic variation,phenotypic variation
GA_2.3_sm_265,Neutral variation (markers not linked to traits under selection),neutral variation (markers not linked to traits under selection)
GA_2.3_sm_266,Non-neutral variation (markers linked to traits under selection),non-neutral variation (markers linked to traits under selection)
GA_2.3_sm_267,Phylogenetic variation (of genes or populations within species),phylogenetic variation (of genes or populations within species)
GA_2.3_sm_268,Demographic variation,demographic variation
GA_2.3_sm_269,"functional diversity (FD), rarity, redundancy, vulnerability","functional diversity (fd), rarity, redundancy, vulnerability"
GA_2.3_sm_270,community-weighted mean trait value (CWM),community-weighted mean trait value (cwm)
GA_2.3_sm_271,phylogenetic diversity (PD),phylogenetic diversity (pd)
GA_2.3_sm_272,overdisperion/ underdispersion,overdisperion/ underdispersion
GA_2.3_sm_273,taxonomic diversity and distinctness,taxonomic diversity and distinctness
GA_2.3_sm_274,"phylogenetic species richness (PSR), clustering (PSC), evenness (PSE), variability (PSV)","phylogenetic species richness (psr), clustering (psc), evenness (pse), variability (psv)"
GA_2.3_sm_275,number of species,number of species
GA_2.3_sm_276,equitability (commonness and rareness),equitability (commonness and rareness)
GA_2.3_sm_277,species abundance distribution,species abundance distribution
GA_2.3_sm_278,mean species abundance (MSA),mean species abundance (msa)
GA_2.3_sm_279,endemism (% endemics in community),endemism (% endemics in community)
GA_2.3_sm_280,emergence (Shannon’s Information),emergence (shannon’s information)
GA_2.3_sm_281,genetic variation (self-organization),genetic variation (self-organization)
GA_2.3_sm_282,genetic variation (complexity),genetic variation (complexity)
GA_2.3_sm_283,genetic variation (homeostasis),genetic variation (homeostasis)
GA_2.3_sm_284,genetic variation (hamming distance),genetic variation (hamming distance)
GA_2.3_sm_285,genetic variation (dissimilarity),genetic variation (dissimilarity)
GA_2.3_sm_286,genetic variation (cohesion),genetic variation (cohesion)
GA_2.3_sm_287,"genetic variation (connectance, numbers of links by the number of nodes)","genetic variation (connectance, numbers of links by the number of nodes)"
GA_2.3_sm_288,betadiversity (species turnover),betadiversity (species turnover)
GA_2.3_sm_289,gamma diversity (total diversity of species in a landscape),gamma diversity (total diversity of species in a landscape)
GA_2.3_sm_290,genetic variation (nestedness),genetic variation (nestedness)
GA_2.3_sm_291,phylobeta diversity,phylogenetic betadiversity
GA_2.3_sm_292,Phylogenetic structure of a community,phylogenetic structure of a community
GA_2.3_sm_293,Phylogenetic betadiversity,phylogenetic betadiversity
GA_2.3_sm_294,community weighted mean of traits,community-weighted mean trait value (cwm)
GA_2.3_sm_295,trait convergence assembly pattern (TCAP),trait convergence assembly pattern (tcap)
GA_2.3_sm_296,trait divergence assembly pattern (TDAP),trait divergence assembly pattern (tdap)
GA_2.3_sm_297,functional betadiversity,functional betadiversity
GA_2.3_sm_298,loss of species,loss of species
GA_2.3_sm_299,loss of phylogenetic diversity (PD),loss of phylogenetic diversity
GA_3_sm_1,Biodiversity Barometer (% of respondents that have heard of biodiversity),biodiversity barometer (% of respondents that have heard of biodiversity)
GA_3_sm_2,Biodiversity Barometer (% of respondents giving correct definition of biodiversity),biodiversity barometer (% of respondents giving correct definition of biodiversity)
GA_3_sm_3,Funding towards environmental education ($),funding towards environmental education
GA_3_sm_4,Online interest in biodiversity (proportion of google searches),online interest in biodiversity (proportion of google searches)
GA_3_sm_5,Funding towards Environmental Impact Assessment ($),funding towards environmental impact assessment
GA_3_sm_6,Number of research studies involving economic valuation,number of research studies involving economic valuation
GA_3_sm_7,World Trade Organisation green box agricultural subsidies ($),world trade organisation green box agricultural subsidies
GA_3_sm_8,Funding towards institutional capacity building in fisheries ($),funding towards institutional capacity building in fisheries
GA_3_sm_9,Percentage of countries that are Category 1 CITES Parties†,percentage of countries that are category 1 cites parties
GA_3_sm_10,Ecological Footprint (number of earths needed to support human society)†,ecological footprint
GA_3_sm_11,Red List Index (impacts of utilisation),red list index (for utilized species)
GA_3_sm_12,Red List Index (internationally traded species),red list index (internationally traded species)
GA_3_sm_13,Human appropriation of net primary productivity (Pg C),human appropriation of net primary production
GA_3_sm_14,Human appropriation of fresh water (water footprint) (thousand km3)†,human appropriation of fresh water (water footprint) (thousand km3)
GA_3_sm_15,Wetland Extent Trends Index,wetland extent trends index
GA_3_sm_16,Area of tree cover loss (ha)†,tree cover
GA_3_sm_17,Percentage natural habitat extent,extent of suitable habitat
GA_3_sm_18,Wild Bird Index (habitat specialists),wild bird index (habitat specialists)
GA_3_sm_19,Red List index (forest specialists),red list index (forest specialists)
GA_3_sm_20,Proportion of fish stocks in safe biological limits†,proportion of fish stocks within biologically sustainable levels
GA_3_sm_21,Marine Stewardship Council certified fisheries (tonnes)†,marine stewardship council certified fisheries
GA_3_sm_22,Marine trophic index†,marine trophic index (mti)
GA_3_sm_23,Red List Index (impacts of fisheries),red list index (impacts of fisheries)
GA_3_sm_24,Global effort in bottom-trawling (kW sea-days),global effort in bottom-trawling
GA_3_sm_25,Nitrogen use balance (kg/km2)†,nitrogen use balance
GA_3_sm_26,Wild Bird Index (farmland birds),wild bird index (farmland birds)
GA_3_sm_27,Area of agricultural land under organic production (million ha),area of agricultural land under organic production
GA_3_sm_28,Area of agricultural land under conservation agriculture (thousand ha),area of agricultural land under conservation agriculture agriculture (thousand ha)
GA_3_sm_29,Area of forest under sustainable management: total FSC and PEFC forest management certification (million ha)†,area of forest under sustainable management: total forest management certification by forest stewardship council and programme for the endorsement of forest certification
GA_3_sm_30,Red List Index (impacts of pollution),red list index (impacts of pollution)
GA_3_sm_31,Pesticide use (tonnes)†,pesticide use
GA_3_sm_32,Nitrogen surplus (Tg N),nitrogen surplus (tg n)
GA_3_sm_33,Number of invasive alien species introductions,number of invasive alien species introduction events
GA_3_sm_34,Red List Index (impacts of invasive alien species),red list index (impacts of invasive alien species)
GA_3_sm_35,Percentage of countries with invasive alien species legislation,percentage of countries with invasive alien species legislation
GA_3_sm_36,Percentage live coral cover,live coral cover
GA_3_sm_37,Glacial mass balance (mm water equivalent),glacial mass balance
GA_3_sm_38,Mean polar sea ice extent (million km2),mean polar sea ice extent
GA_3_sm_39,Climatic Impact Index for birds,climatic impact index for birds
GA_3_sm_40,Area of mangrove forest cover (km2),mangrove forest area
GA_3_sm_41,Percentage of marine and coastal areas covered by protected areas†,percentage of marine and coastal areas covered by protected areas
GA_3_sm_42,Percentage of terrestrial areas covered by protected areas†,percentage of terrestrial ecoregions covered by protected areas
GA_3_sm_43,Percentage of Key Biodiversity Areas covered by protected areas†,protected area coverage of key biodiversity areas
GA_3_sm_44,Percentage of terrestrial ecoregions covered by protected areas,percentage of terrestrial ecoregions covered by protected areas
GA_3_sm_45,Percentage of marine ecoregions covered by protected areas,percentage of marine ecoregions covered by protected areas
GA_3_sm_46,"Protected area coverage of bird, mammal and amphibian distributions","protected area coverage of bird, mammal and amphibian distributions"
GA_3_sm_47,Number of protected area management effectiveness assessments†,number of protected area management effectiveness (pame) assessments
GA_3_sm_48,Funding towards nature reserves ($),funding towards nature reserves
GA_3_sm_49,Living Planet Index,living planet index
GA_3_sm_50,Red List Index†,red list index
GA_3_sm_51,Funding towards species protection ($),funding towards species protection
GA_3_sm_52,Number of plant genetic resources for food and agriculture secured in conservation facilities,number of plant and animal genetic resources secured in medium or long-term conservation facilities
GA_3_sm_53,Percentage of terrestrial domesticated animal breeds at risk†,percentage of terrestrial domesticated animal breeds at risk
GA_3_sm_54,Red List Index (wild relatives of farmed and domesticated species),red list index (wild relatives)
GA_3_sm_55,Percentage change in local species richness,percentage change in local species richness
GA_3_sm_56,Red List Index (species used for food and medicine),red list index (for utilized species)
GA_3_sm_57,Red List Index (pollinator species),red list index (pollinators)
GA_3_sm_58,Percentage of global rural population with access to improved water resources,percentage of global rural population with access to improved water resources
GA_3_sm_59,Percentage of countries that have ratified the Nagoya Protocol,percentage of countries that have ratified the nagoya protocol
GA_3_sm_60,Percentage of countries with revised NBSAPs†,percentage of countries with revised nbsaps
GA_3_sm_61,Species Status Information Index†,species status index
GA_3_sm_62,Number of biodiversity papers published,number of biodiversity papers published
GA_3_sm_63,Proportion of known species assessed through the IUCN Red List †,proportion of known species assessed through the iucn red list of threatened species
GA_3_sm_64,Number of species occurrence records in the Global Biodiversity Information Facility,species occurrence records accessible through the global biodiversity information facility
GA_3_sm_65,Funding committed to environmental research ($),funding committed to environmental research
GA_3_sm_66,Funding provided by the Global Environment Facility ($),funding provided by the global environment facility
GA_3_sm_67,Official Development Assistance provided in support of the CBD objectives ($),official development assistance provided in support of the cbd objectives
GA_3_sm_68,"Global funding committed towards environmental policy, laws, regulations and economic instruments ($)","global funding committed towards environmental policy, laws, regulations and economic instruments"
