indic_id,indicators,indicators_harmonized
GAsup23_NCP4_48,Number of deaths caused by extreme climatic events,number of deaths caused by extreme climatic events
GAsup23_NCP4_49,Food security and climate change,food security and climate change
GAsup23_NCP4_50,Number of undernourished people,number of undernourished people
GAsup23_NCP4_51,Crop production breaks caused by climate change,crop production breaks caused by climate change
GAsup23_NCP4_52,"Economic impacts of climate change on specific aspects of regional economic activity, such as labour productivity, the supply of production factors such as capital, and changes in the structure of demand","economic impacts of climate change on specific aspects of regional economic activity, such as labour productivity, the supply of production factors such as capital, and changes in the structure of demand"
GAsup23_NCP5_53,Extent of marine vegetation,extent of marine vegetation
GAsup23_NCP5_54,Extent of marine calcification,extent of marine calcification
GAsup23_NCP5_55,Air–sea and sediment–water fluxes of carbon and CO2,air-sea and sediment-water fluxes of carbon and co2
GAsup23_NCP5_57,net primary production seaweed aquaculture,net primary production seaweed aquaculture
GAsup23_NCP5_58,Extent of Coral Reefs,extent of coral reefs
GAsup23_NCP6_59,Land use change that causes a change in ET,land use change that causes a change in et
GAsup23_NCP6_60,Change in terrestrial biomass,change in terrestrial biomass
GAsup23_NCP6_61,change in extent of wetlands and inland water bodies,change in extent of wetlands and inland water bodies
GAsup23_NCP6_62,"Biotic mediation of air-surface-groundwater partitioning (water demand by vegetation, infiltration)","biotic mediation of air-surface-groundwater partitioning (water demand by vegetation, infiltration)"
GAsup23_NCP6_63,Water availability,water availability
GAsup23_NCP6_64,Water available for people relative to demand,water available for people relative to demand
GAsup23_NCP6_65,extent of irrigated area,extent of irrigated area
GAsup23_NCP6_66,water shortage,water shortage
GAsup23_NCP6_67,desertification,desertification
GAsup23_NCP6_68,how much kw hrs that are dependent on water Ag (irrigated area),how much kw hrs that are dependent on water ag (irrigated area)
GAsup23_NCP4_69,Suspended organic carbon,suspended organic carbon
GAsup23_NCP7_70,existence of non-crop or urban in a place dominated by either,existence of non-crop or urban in a place dominated by either
GAsup23_NCP7_71,Capacity of ecosystem to filter (or add) constituent components (extent of vegetation),capacity of ecosystem to filter (or add) constituent components (extent of vegetation)
GAsup23_NCP7_72,Concentration of constituents (pollutants) in the water,concentration of constituents (pollutants) in the water
GAsup23_NCP7_73,Reduced incidence of water borne disease,reduced incidence of water borne disease
GAsup23_NCP7_74,Avoided water treatment costs,avoided water treatment costs
GAsup23_NCP8_75,Rain-use efficiency adjusted NDVI,rain-use efficiency adjusted ndvi
GAsup23_NCP8_76,Crop yield,crop yield
GAsup23_NCP8_77,Soil depth,soil depth
GAsup23_NCP8_78,Food security,food security
GAsup23_NCP8_79,Soil biodiversity,soil biodiversity
GAsup23_NCP8_80,Soil Quality,soil quality
GAsup23_NCP8_81,Soil degradation impact on crop productivity,soil degradation impact on crop productivity
GAsup23_NCP9_82,Coral reefs distribution and extent,coral reefs distribution and extent
