indicator_harmonized,indic_id,var_indic,ILK
normalized difference vegetation index (ndvi),IPCC_2_78_126,2,NA
northernmost location of the treeline,IPCC_2_78_127,2,NA
fraction of absorbed photosynthetically active radiation (fapar),IPCC_2_79_128,2,NA
leaf area index (lai),IPCC_2_79_128,2,NA
atmospheric co2 concentrations,IPCC_2_81_132,2,NA
ocenan ph,IPCC_2_81_132,2,NA
north atlantic oscillation (nao) index,IPCC_2_84_139,2,NA
northern annular mode (nam) index,IPCC_2_84_139,2,NA
southern annular mode (sam) index,IPCC_2_85_141,2,NA
sea surface temperature (sst),IPCC_2_86_146,2,NA
oceanic niño index (oni),IPCC_2_86_146,2,NA
southern oscillation index (soi),IPCC_2_86_146,2,NA
marine sediment cores,IPCC_2_89_153,2,NA
pacific decadal oscillation (pdo),IPCC_2_89_154,2,NA
inter-decadal pacific oscillation (ipo) index,IPCC_2_89_154,2,NA
atlantic multi-decadal variability (amv) index,IPCC_2_90_158,2,NA
precipitation,IPCC_3_8_164,1,NA
volcanic activity,IPCC_3_17_173,1,NA
ghg changes,IPCC_3_17_173,1,NA
aerosol changes,IPCC_3_17_173,1,NA
sea surface temperature (sst),IPCC_3_22_174,1,NA
tree rings,IPCC_3_27_176,1,NA
hadley circulation cell,IPCC_3_37_179,2,NA
sea ice thermodynamic,IPCC_3_45_183,1,NA
ocean temperature,IPCC_3_51_187,2,NA
ocean heat content,IPCC_3_51_187,2,NA
atmospheric co2 concentrations,IPCC_3_64_190,2,NA
atmosphere-land co2 fluxes,IPCC_3_64_190,2,NA
leaf area index (lai),IPCC_3_64_190,2,NA
land-use and management,IPCC_3_64_190,2,NA
wildfires,IPCC_3_64_190,2,NA
leaf area index (lai),IPCC_3_65_191,2,NA
north atlantic oscillation (nao) index,IPCC_3_67_194,2,NA
northern annular mode (nam) index,IPCC_3_67_194,2,NA
indian ocean dipole index (iod),IPCC_3_78_202,2,NA
indian ocean basin (iob) index,IPCC_3_78_203,2,NA
pacific decadal variability (pdv),IPCC_3_78_203,2,NA
pacific decadal oscillation (pdo),IPCC_3_80_205,2,NA
indian ocean dipole (ipo),IPCC_3_80_205,2,NA
pacific decadal variability (pdv),IPCC_3_80_206,2,NA
pacific decadal variability (pdv),IPCC_3_81_208,2,NA
atlantic multi-decadal variability (amv) index,IPCC_3_83_210,2,NA
sea surface temperature (sst),IPCC_3_84_211,2,NA
ocean salinity,IPCC_3_84_212,1,NA
global surface air temperature (gsat),IPCC_4_7_219,2,NA
global land precipitation,IPCC_4_7_219,2,NA
arctic sea ice area,IPCC_4_7_219,2,NA
atlantic meridional overturning circulation (amoc),IPCC_4_8_220,2,NA
global mean ocean surface ph,IPCC_4_8_220,2,NA
carbon uptake by land and ocean,IPCC_4_8_220,2,NA
northern and southern annular modes (nam and sam),IPCC_4_8_220,2,NA
el niño-southern oscillation (enso) index,IPCC_4_8_220,2,NA
precipitation index,IPCC_4_8_221,2,NA
circulation index,IPCC_4_8_221,2,NA
atlantic meridional overturning circulation (amoc),IPCC_4_18_229,2,NA
ocean ph,IPCC_4_18_229,2,NA
northern annular mode (nam) index,IPCC_4_26_231,2,NA
sea surface temperature (sst),IPCC_4_26_231,2,NA
el niño-southern oscillation (enso) index,IPCC_4_27_234,2,NA
land monsoon precipitation index,IPCC_4_34_236,2,NA
northern hemisphere summer monsoon circulation index,IPCC_4_34_236,2,NA
northern annular mode (nam) index,IPCC_4_35_237,2,NA
el niño-southern oscillation (enso) index bjerknes index,IPCC_4_37_241,2,NA
changes in mean precipitation,IPCC_4_49_249,1,NA
contrast of mean precipitation between dry and wet regions and between dry and wet seasons,IPCC_4_49_249,1,NA
land monsoon precipitation index,IPCC_4_51_250,2,NA
annular mode index,IPCC_4_51_251,2,NA
land-use co2 emissions,IPCC_4_79_266,2,NA
fossil co2 emissions,IPCC_4_79_266,2,NA
non-co2 fossil-fuel emissions,IPCC_4_79_266,2,NA
land-use related non-co2 emissions,IPCC_4_79_266,2,NA
co2 concentration,IPCC_4_79_266,2,NA
ice core measurements,IPCC_5_14_270,1,NA
sink rate,IPCC_5_19_272,1,NA
